sample	surface	acc_x	acc_y	acc_z
1.0000	0.0000	0.0890	-0.1084	0.0271
2.0000	0.0000	0.1308	-0.1147	0.0158
3.0000	0.0000	0.1020	-0.0876	0.0110
4.0000	0.0000	0.1288	-0.0969	0.0173
5.0000	0.0000	0.1301	-0.0854	-0.0008
6.0000	0.0000	0.1261	-0.1257	0.0197
7.0000	0.0000	0.1254	-0.1064	0.0183
8.0000	0.0000	0.1083	-0.1074	0.0215
9.0000	0.0000	0.1030	-0.1255	-0.0017
10.0000	0.0000	0.1259	-0.1076	0.0171
11.0000	0.0000	0.1264	-0.1252	0.0151
12.0000	0.0000	0.1052	-0.1040	0.0212
13.0000	0.0000	0.1054	-0.1071	0.0183
14.0000	0.0000	0.1069	-0.1074	0.0190
15.0000	0.0000	0.1259	-0.1062	0.0183
16.0000	0.0000	0.1259	-0.1047	-0.0076
